airport,Airport Name,MinRWYlength,Taxi_In,Taxi_In fuel,taxi_in_seconds
BIKF,KEFLAVIK,10020.0,7.2774506408,87.33,436.647038448
BIKF,KEFLAVIK,10056.0,7.2774506408,87.33,436.647038448
BKPR,PRISTINA,9974.0,5.5404515522,66.49,332.42709313200004
CYFB,,8605.0,4.0,48.0,240.0
CYHZ,,10500.0,4.0,48.0,240.0
CYHZ,,7700.0,4.0,48.0,240.0
CYUL,MONTREAL/DORVAL,11000.0,9.0482041588,108.58,542.8922495280001
CYUL,MONTREAL/DORVAL,9600.0,9.0482041588,108.58,542.8922495280001
CYUL,MONTREAL/DORVAL,7000.0,9.0482041588,108.58,542.8922495280001
CYVR,VANCOUVER INTL,9940.0,6.8583638584,82.3,411.501831504
CYVR,VANCOUVER INTL,11500.0,6.8583638584,82.3,411.501831504
CYVR,VANCOUVER INTL,7300.0,6.8583638584,82.3,411.501831504
CYVR,VANCOUVER INTL,3500.0,6.8583638584,82.3,411.501831504
CYYC,CALGARY INTL,6200.0,5.6301369863,67.56,337.808219178
CYYC,CALGARY INTL,8000.0,5.6301369863,67.56,337.808219178
CYYC,CALGARY INTL,14000.0,5.6301369863,67.56,337.808219178
CYYC,CALGARY INTL,12675.0,5.6301369863,67.56,337.808219178
CYYT,,5028.0,4.0,48.0,240.0
CYYT,,8502.0,4.0,48.0,240.0
CYYT,,7005.0,4.0,48.0,240.0
CYYZ,TORONTO INTL/L.B. PE,11120.0,13.4345821326,161.21,806.074927956
CYYZ,TORONTO INTL/L.B. PE,9697.0,13.4345821326,161.21,806.074927956
CYYZ,TORONTO INTL/L.B. PE,9000.0,13.4345821326,161.21,806.074927956
CYYZ,TORONTO INTL/L.B. PE,11050.0,13.4345821326,161.21,806.074927956
CYYZ,TORONTO INTL/L.B. PE,9088.0,13.4345821326,161.21,806.074927956
DAAG,ALGER,11483.0,8.2235483871,98.68,493.41290322599997
DAAG,ALGER,11483.0,8.2235483871,98.68,493.41290322599997
DABC,,7874.0,4.0,48.0,240.0
DABC,,9843.0,4.0,48.0,240.0
DAOO,ORAN ES SENIA,11811.0,7.3390092879,88.07,440.340557274
